trial_id,group,system,n_droplets,n_events,pct_censored,HR_distance,coef_distance,p_distance,HR_dist_ci_lo,HR_dist_ci_hi,HR_logR0,p_logR0,concordance,p_interaction,HR_interaction,PH_p_distance,PH_p_logR0
Green.1,Green,Fungi,720,713,0.9722222222222188,0.7695713052401619,-0.2619216656166039,3.1097416574741485e-12,0.7149477620151851,0.8283682043842353,2.425074797620617,2.8483155374297868e-08,0.6258661706475923,0.009518602101746581,1.1571011055094038,0.031179001993928656,5.1726534798808015e-11
Green.2,Green,Fungi,727,638,12.242090784044013,0.5676418591374975,-0.5662645888159323,3.307022891972415e-38,0.5209286899384334,0.6185439321515508,3.6059395003592627,1.5507218779311655e-15,0.703715493702895,0.28751181754104965,0.9359910770602404,6.6936993209239825e-06,1.2780851161870132e-10
Green.3,Green,Fungi,967,967,0.0,0.7920465216253346,-0.2331351494668761,1.0124401429295103e-09,0.7349509165806967,0.8535776720130274,1.79323120608714,9.531259395723249e-05,0.5854094616639478,0.02183082294901591,1.151367135467677,0.22340783862766567,0.0037501559183560833
Green.4,Green,Fungi,813,809,0.49200492004920493,0.863319920915648,-0.14696994869628277,0.00038260784445729324,0.7960674636363334,0.9362539230598238,4.06668791973481,2.5340311696942953e-16,0.6679055049713816,0.9056295616122493,0.9915987457335773,0.053950822298327095,2.033160302727888e-18
Green.5,Green,Fungi,1388,1385,0.2161383285302576,0.29179073622027757,-1.2317183904149536,1.6170126070655432e-161,0.26690550541813024,0.31899616911456985,0.39970938440137804,2.824664221193243e-17,0.7844870360147693,0.05749997258458768,1.0989457217231835,0.0282760094904981,8.363604497441617e-09
agar.1,Agar,Hydrogel,532,532,0.0,0.8776788671178024,-0.13047450724280488,0.021980473096870054,0.7849693676459408,0.9813379037902035,5.590470007190945,1.8959162192021708e-16,0.6882813622646932,0.28367724326976695,1.0887056946741187,2.243901134871016e-06,1.2382675326928176e-17
agar.2,Agar,Hydrogel,629,628,0.15898251192368873,0.9652088962431614,-0.03541072827916407,0.43929194722771914,0.882364140438329,1.055831907362124,5.252241343260048,1.7340575501324946e-19,0.6874607149113316,0.9901872129873637,1.0008542832381027,5.926506786534313e-07,4.547976789689002e-22
agar.3,Agar,Hydrogel,418,416,0.4784688995215336,1.0138318724899669,0.01373708519870769,0.8270512999991011,0.8962873065838786,1.1467919473211028,27.919098553169647,2.5229343361433765e-34,0.7247950651452428,0.9068527630224141,1.010990282609771,0.6618910963227831,5.762649291612426e-07
agar.4,Agar,Hydrogel,926,908,1.943844492440605,0.8177440401575552,-0.20120590068857538,6.113793015281217e-08,0.7603118311147207,0.8795145463313234,4.035208757541475,3.976730602552072e-15,0.650614824314931,0.3695610261729845,1.0567945782621504,5.100853498480981e-06,9.646060997183856e-32
agar.5,Agar,Hydrogel,524,520,0.7633587786259555,1.039925401830087,0.03914898157110101,0.4713975007959009,0.9348299436674422,1.1568359022913182,1.5171860527424916,0.028006475946795895,0.5858690778657899,0.46343323906146616,0.9441223055295082,0.00018874223504951492,5.39556413204465e-15
black.3,Black,Fungi,1465,279,80.95563139931741,0.6863325411412152,-0.3763930148612751,1.2634691147372727e-07,0.5969006736029893,0.7891637216389948,0.0032626774079085727,8.818360274330622e-70,0.8333379711158903,0.03929039939863446,0.8984887374109147,0.13068932172543338,0.025313881698352903
black.4,Black,Fungi,1634,1631,0.1835985312117483,0.7344840892346663,-0.3085869456386828,8.909567818453699e-16,0.681265139910685,0.7918603869994029,0.15551725620153636,2.274448788372029e-59,0.6678540380077955,0.11416818444344701,0.9040436395044117,0.04740087336951721,0.16606153149200986
white.1,White,Fungi,1203,1157,3.8237738985868686,0.5860330864663029,-0.5343790294524255,4.3359197633614304e-48,0.5453856105025857,0.6297100103479775,0.8253155187222039,0.14741407146590804,0.6512723445173463,0.17596210412539226,1.0696662739842075,0.622004276262755,9.740683791958552e-18
white.3,White,Fungi,532,519,2.4436090225563922,0.6875065502337558,-0.3746839218740623,1.175592150337357e-13,0.6227178058465639,0.7590360387587559,4.841005446806815,5.077796843849077e-11,0.6497773671775611,0.19328773671729,1.091856288472412,9.798910166310418e-07,0.03656700893098311
white.4,White,Fungi,1108,326,70.57761732851986,0.5057531411653874,-0.6817065920482066,7.013143502727386e-18,0.433092257940886,0.5906045077203141,0.040823618875177915,2.856078147103715e-35,0.8103786336704546,0.030361749947627234,0.8831791383659489,0.36763130460229265,0.9582472840564245
white.5,White,Fungi,913,532,41.73055859802848,0.6441391323908223,-0.4398405321268182,2.9146074430741865e-15,0.5775042818833069,0.7184625896177181,0.4761527660176679,0.0023856441704309403,0.6581765571075627,0.668702578483001,0.9746683917059437,0.13837688030335796,0.500934591878907
