track_id,distance_um,death_cause,lifetime_s,n_frames_evap,n_frames_total,K_fit,R2_gof,R0_fit_um,K_fit_se
48,2188.449279170252,lost,610,38,46,8.185673023229667,0.8858108358958798,80.73916304036571,0.4898296782126226
49,853.1186374389123,lost,620,40,47,7.425598253641493,0.7876542894397148,82.08516981542373,0.6254514096579222
50,1535.1226308887499,lost,1000,59,59,0.10173127362708698,0.004950921687497729,44.92648941435352,0.19102766902479693
51,3045.973288914631,lost,630,28,42,2.980996145221015,0.8967005564678338,34.8894003512488,0.19842665525009137
52,1424.5499416687796,lost,610,39,46,3.6392206933296007,0.9518369812701792,55.505094717806614,0.13458079638702983
53,409.2592601733024,lost,870,40,56,5.671886301873628,0.7695573177733234,68.47865401372637,0.5034967745403578
54,1210.7609339111837,lost,830,39,54,4.692347129978453,0.7621763577388975,63.821482798826025,0.43091245523913396
55,1775.184895307256,lost,940,21,46,2.9343111319662225,0.9201371651590499,34.367358367253466,0.19832407412114542
56,116.2254318933108,lost,720,42,51,8.090787271240796,0.76827153644967,83.47984756394295,0.7025756700225688
57,1698.6053555803776,lost,830,35,50,2.759119187790411,0.8153355116429654,46.9838167746948,0.22857935658077452
58,2368.9588017281103,lost,900,30,51,4.833256082802609,0.9851969544990721,51.116512846310236,0.11196306974566222
59,259.62343852351694,lost,610,38,44,3.3066683012621385,0.8798181563729569,50.455998813025026,0.20368655020113013
60,2743.371696703633,lost,830,30,48,7.315388824551616,0.8611472868924734,61.90853194172146,0.5551327701969396
61,1040.628065223607,lost,530,37,44,6.591117486300377,0.7408341293082242,76.77023529253562,0.6589514904100799
62,1591.6576690033367,lost,550,38,44,4.253046694100007,0.9450965650656139,57.53490902775316,0.17084826239117257
63,678.4676012919484,lost,710,36,48,3.1074731941844695,0.7607320179392371,56.28138040884347,0.29887829580346337
64,1817.1482037219787,lost,800,40,53,6.017480341641018,0.6784500079475663,75.8132427833828,0.6720292986155267
65,1471.5480334687174,lost,710,39,50,4.468733405064552,0.7499762281861553,61.2323719117334,0.4241802919524033
66,482.4996571966478,lost,830,39,54,4.446882268893602,0.8291348711704963,61.89605760045669,0.33187069010557035
67,1304.265095512796,lost,920,37,57,5.8733983496182,0.783016861999564,64.30036924789846,0.522616202920061
68,2001.950396772936,lost,610,38,46,4.84792377915529,0.7898645252597719,65.1835151357796,0.41675221421464015
69,890.8637728811811,lost,980,36,57,2.955627355675359,0.9617654318468621,49.65073455677645,0.10106568687064056
70,326.8004670744098,lost,630,40,48,5.899331822477779,0.8113852193364519,65.71765309845117,0.4614082356257979
71,2931.5734965921915,lost,540,38,43,9.728416063308297,0.81541884050951,93.23799679186581,0.7714258714686488
72,2260.079813511525,lost,580,39,45,7.589918071701048,0.6165942219200463,92.77071293163897,0.9839336816301858
73,2467.529457690643,lost,750,36,50,6.936857213693493,0.9213622682505016,73.80184805108814,0.34755502679024786
74,1170.844105120493,lost,950,37,56,2.946110188304368,0.8635189074660736,46.736379316563,0.19797724816400875
75,1654.9780725996168,lost,550,38,44,5.108468227946687,0.9104353669505761,61.86036402691731,0.26704420726825606
76,745.9089836083526,lost,680,49,49,2.6123886362755604,0.5239990477086738,71.79866913163706,0.3631846785333564
77,525.9735755912309,lost,780,41,53,5.57355462656118,0.7708083844198448,67.03771142320443,0.4866605095226345
78,130.6105515560757,lost,660,42,49,7.030021726826736,0.858883076576301,77.89137417443789,0.4505564368751108
80,952.9552897545271,lost,1130,34,63,6.659654556349853,0.7999802061482901,61.44875915937607,0.5886722724534447
81,1881.0427353549305,lost,700,37,49,5.552451276734487,0.8286268162943373,66.68145564863748,0.42681794903627934
82,1362.7182756987647,lost,790,39,52,4.241704817276869,0.8995448239000541,61.075717658024615,0.23303134165969072
83,2684.212233657279,lost,490,39,42,11.233463815090635,0.715218686845433,105.23950812098107,1.1653305885852
84,1178.9506828591811,lost,1000,37,59,4.997431017428141,0.8672970811339779,66.53264919005461,0.33042209554393576
85,381.87613401308346,lost,510,42,44,4.6986643217029185,0.7889394043629229,61.45880089220462,0.38426088594563856
87,1482.4414480268126,lost,460,38,41,6.543055389205576,0.8685635336017608,87.63792155313917,0.42421545624692064
88,2009.816934408139,lost,960,34,55,4.748373418941549,0.8540188025941121,51.66118481140288,0.3470440641160722
89,810.8234022337564,lost,830,37,54,3.919377829513306,0.697848221284597,60.569998875720685,0.435928435780094
90,609.9918111554473,lost,760,38,51,3.01824463263523,0.7298908489557854,57.066039139543015,0.3060158182988527
91,1693.5187528116203,lost,460,38,41,6.084855416478885,0.8725711447579543,76.85129972461272,0.3875542289327492
92,2476.553708838106,lost,510,36,42,6.985605518854519,0.9127530284485819,74.00568247777176,0.3703933133430849
93,228.5370727874182,lost,750,42,52,4.917211237227037,0.8131084349050937,63.78481825825052,0.3727429921237508
94,1019.0745579956838,lost,880,38,55,3.614935268801313,0.7726949204577288,58.324769754260586,0.32677574721440317
95,445.14339446993023,lost,920,39,57,2.6026437185846207,0.6929097488888969,50.56267699630694,0.284844958728007
96,894.1467880874508,lost,470,35,42,5.732935802806453,0.7724134996817629,62.521223586285195,0.5417119669756573
97,2244.1253396326283,lost,730,37,50,6.379134310058043,0.6700802169107867,78.45831753482007,0.7566037768177335
98,2874.069576063843,lost,480,36,41,7.772264872886576,0.8834204378643238,84.56744790598019,0.4842120832062287
99,2084.6038003975245,lost,840,31,49,3.7551510444976723,0.8556786991386196,50.07073181210972,0.2863770878016812
100,1940.3039446195125,lost,550,38,44,6.278129688225713,0.7866666607709094,77.83892461437058,0.5448952543090054
101,1122.8310582072927,lost,1050,27,58,2.698544187317686,0.9078411383595437,35.675561919731244,0.17195830315907978
102,1234.6331151389986,lost,720,35,49,5.842620421166667,0.8636558406570115,60.01115603092949,0.4041090852753215
103,538.6567143060352,lost,1140,37,63,3.1978538266887653,0.8946703831244023,50.603208571779234,0.18546770927358303
104,1774.579873670288,lost,1020,34,57,3.637822612760572,0.8974200911690476,48.86388665846365,0.21742014915450397
105,719.6597562388991,lost,730,37,50,3.121157373590075,0.8872864569042986,57.99584476291114,0.18803459949225387
106,265.3027096391502,lost,1010,41,60,2.4549210488212188,0.8133860649662752,48.999647945599285,0.18829071196041047
