trial,group,delta_um,dtau50_dr,dtau50_dr_sm,K_near,K_far,K_ratio,near_edge,dK_dr,dK_dr_r,dK_dr_p,n_drops
2to1.3,2:1,933.4,1.3344988344988344,1.083333333333333,3.1041025302563323,3.7145980534689254,0.8356496411119169,1268.5784349998892,0.5057800938837692,0.12708932940127649,5.383628691275716e-05,1004
2to1.4,2:1,872.9,2.2474747474747474,1.6054778554778553,1.8966774206108206,4.386319205947931,0.43240752247097985,1061.6585867467948,0.9736373674840717,0.18781887210238843,7.802215807062507e-06,559
2to1.5,2:1,1005.4,2.138278388278388,1.904040404040404,3.0768203661872824,5.919686821852859,0.5197606661942024,1264.485952450661,1.4379647187430429,0.2051596609230465,7.503034763098814e-06,469
Green.1,Green,279.5,0.4265565875472996,0.3543171654626763,2.8364819132418506,4.829153581500013,0.5873662672705459,672.8331949264169,0.35760071322140474,0.11179214981825021,0.002720962474667899,717
Green.2,Green,316.0,0.3259373925008599,0.2984176126590986,4.248108515454777,4.973288866902123,0.8541849526832205,790.3018044997804,-0.14792175758375672,-0.028614658345523406,0.467823165649533,646
Green.3,Green,297.8,0.2806372549019608,0.1838235294117647,2.159508899450711,3.2526754873775032,0.6639177218357658,755.17433264252,0.40508812393070653,0.15117243720203746,2.3349679324253213e-06,967
Green.4,Green,285.6,0.3946078431372549,0.1391941391941392,2.8142262908552413,3.209504428796942,0.8768413794992432,705.6280118469679,0.06010226388205394,0.020296420174322122,0.5633423804629025,813
Green.5,Green,311.7,0.3860294117647059,0.3206699346405229,1.9696137525056459,2.6236866832815693,0.750704634458165,804.1976057693107,0.27400394585658344,0.15617934644566253,4.936944684676458e-09,1388
white.1,White,198.5,0.6710526315789472,0.32765737874097,1.942127740657441,3.1254677766545007,0.6213878623750502,731.12114429913,0.3035316831612889,0.098883340977339,0.0007332101183494887,1163
white.2,White,126.2,0.4738562091503267,0.0563725490196079,1.8394225743008186,6.25434805146012,0.29410300788607263,445.1780793618481,1.8633927221809596,0.2890574198041088,9.239749238996016e-13,587
white.3,White,120.0,0.8823529411764707,0.5070588235294118,5.426191929222508,7.799256313322273,0.6957319661303831,910.859286733704,0.7770023012847693,0.14846414714441786,0.0006283149573654036,527
white.4,White,131.6,0.6515151515151515,0.0,1.4994471569109997,2.6778754756172565,0.5599390899852704,345.0104628874153,0.46507456815575937,0.18712249290192712,0.0006846620060057047,326
white.5,White,123.0,0.1264189886480908,0.0,1.6037042229687097,2.4265898424345864,0.6608880474665305,466.7806125407772,0.3669370346106297,0.20742911452974935,1.363525507918481e-06,533
black.1,Black,125.4,0.0,0.0,0.5364686056972137,0.7584586489058642,0.7073142437904973,538.798011014528,0.10590419981233667,0.20510437878448923,2.234006387689237e-13,1254
black.2,Black,98.0,0.0714285714285714,0.0,2.0747432713031664,3.739454327134258,0.5548251401944925,655.2620207774129,0.3794640044331734,0.11776794676386633,0.002824453437571336,641
black.3,Black,111.7,1.25,,1.3483463618869924,1.6331497133223916,0.8256109962778546,146.6414365230816,0.14289261028347003,0.10100273368357413,0.08989568289596843,283
black.4,Black,135.7,0.2893772893772893,0.0137362637362637,1.9926221600659586,2.150337482873585,0.9266555486923546,691.5995874529646,0.14637341029850723,0.07334634424104994,0.0030112269220264215,1634
black.5,Black,78.3,0.1866185070519435,0.079656862745098,1.5681660415766245,3.36426744359495,0.4661240724372768,545.4393833623965,0.6075760615065954,0.22413121459706523,3.9887043340993664e-13,1024
