frequency,20251214_221838.JPG_T1,20251214_221838.JPG_T2,20251214_221838.JPG_T3,20251214_221838.JPG_T4,20251214_221838.JPG_T5,20251214_221853.JPG_T6,20251214_221853.JPG_T7,20251214_221853.JPG_T8,20251214_221853.JPG_T9,20251214_221853.JPG_T10,20251214_221853.JPG_T11,20251214_221920.JPG_T12,20251214_221920.JPG_T13,20251214_221920.JPG_T14,20251214_221920.JPG_T15,20251214_221942.JPG_T16,20251214_221942.JPG_T17,20251214_221942.JPG_T18,20251214_221942.JPG_T19,20251214_221942.JPG_T20,20251214_221942.JPG_T21,20251214_222017.JPG_T22,20251214_222017.JPG_T23,20251214_222017.JPG_T24,20251214_222017.JPG_T25,20251214_222031.JPG_T26,20251214_222031.JPG_T27,20251214_222031.JPG_T28,20251214_222031.JPG_T29,20251214_222052.JPG_T30,20251214_222052.JPG_T31,20251214_222052.JPG_T32,20251214_222052.JPG_T33,20251214_222121.JPG_T34,20251214_222121.JPG_T35,20251214_222121.JPG_T36,20251214_222121.JPG_T37,20251214_222121.JPG_T38,20251214_222121.JPG_T39,20251214_222146.JPG_T40,20251214_222146.JPG_T41,20251214_222146.JPG_T42,20251214_222146.JPG_T43,20251214_222146.JPG_T44,20251214_222146.JPG_T45,20251214_222146.JPG_T46,20251214_222205.JPG_T47,20251214_222205.JPG_T48,20251214_222205.JPG_T49,20251214_222205.JPG_T50,20251214_222205.JPG_T51,20251214_222313.JPG_T52,20251214_222313.JPG_T53,20251214_222313.JPG_T54,20251214_222452.JPG_T55,20251214_222452.JPG_T56,20251214_222452.JPG_T57,20251214_222452.JPG_T58,20251214_222530.JPG_T59,20251214_222530.JPG_T60,20251214_222530.JPG_T61,20251214_222530.JPG_T62,20251214_222530.JPG_T63,20251214_222530.JPG_T64,20251214_222552.JPG_T65,20251214_222552.JPG_T66,20251214_222552.JPG_T67,20251214_222552.JPG_T68,20251214_222552.JPG_T69,20251214_222552.JPG_T70
0.00409318,13892539.7324,5007561.0491,52034170.1191,9376716.5042,1379033.5592,350115.5850,15674514.3316,632253.8356,39221671.4058,308753.6777,1737181.0937,117321610.9911,28406419.2747,2327518.9142,18036.5640,2412396.4906,35693413.9448,19059953.3132,1394001.1765,3170074.6815,271221.7021,151613447.1699,206830046.7412,145453763.8087,1755131.0893,124169152.2207,3007995.1245,28351804.1010,1138139.4618,6425896.0874,4339949.5520,16868076.0224,2618285.8485,11912623.1183,817149.0068,2292773.5666,7838673.6043,25637144.6981,922028.9913,28894422.3099,197528903.1972,7842039.4870,10073191.8622,1745778.8696,1948806.5234,3966170.4605,36172381.2919,26158066.8662,5049712.6418,5415221.1296,647125.3156,457121.1670,27922103.2124,2187360.3319,14008257.6143,951301.2527,4503789.3619,1488699.9944,280336.7001,23987788.8232,16072338.6731,469051.0373,230446.9200,2604352.3571,51155192.2580,13447739.6271,792324.6081,600424.4468,3457102.7129,14760149.8976
0.00446528,57794920.3289,3744258.5280,34992824.5952,24273573.1173,1675148.4574,97518.0807,16105659.2960,605268.4955,19431263.5283,783463.9374,2491260.4348,17422383.1004,36906094.2237,10337128.2486,2573690.0554,384788.0892,84515981.8365,10680294.0907,3478280.8895,2019182.6668,374940.4506,575018535.7511,149060647.3534,17701713.1285,451396.8493,23471339.9011,866185.2217,6504805.9252,20614133.7350,17148691.7525,18314607.6427,1342663.2528,3887430.1892,7380791.1340,781358.5943,1193181.6962,23122082.9970,8853561.3863,1454582.2808,2844172.7360,53337787.6639,2814989.5239,13435368.0894,567289.8498,276517.5375,1283562.5544,42576139.5748,14957258.1288,6256660.3775,4181307.2255,1520571.9863,1590459.1120,11719340.0184,2706042.1851,2518829.1473,11204989.4484,20903780.4395,7625927.9657,698385.5653,1219847.8078,12668136.5025,421064.0708,701797.2810,3961524.9911,103161140.5141,1764121.2134,5202671.3027,15251437.4777,1229967.0802,41618616.8963
0.00483739,123323834.5053,27033979.0000,555240.5972,27190704.6335,2430217.0361,862806.0055,5702018.4237,2364771.6952,877007.9024,1380579.1430,123678.1368,20851120.1225,54557914.7696,25923294.7820,4109376.0303,969020.1287,43854777.2641,670074.8907,1379864.7894,320924.1973,934664.5763,548564185.3813,397879701.3816,178756342.8205,901371.8245,22202385.9505,4873108.7205,22472588.8749,11320995.7731,18451845.9306,23826133.1482,18949391.9298,6850989.7141,5817208.8392,4119.3743,402351.4279,11333028.3808,245168.6279,1473548.9357,52730921.4080,8142478.5411,8209159.5854,6807859.2648,582201.7302,460688.2058,1395838.4955,8895830.8666,3584639.7663,8423790.1600,3036395.5796,3260462.7498,4161277.7677,258457.8278,785879.2427,42481751.4197,17947438.0501,59564782.0090,957146.7365,778724.9258,4496069.1169,9594377.1282,235539.9234,869345.6666,927668.4890,7170565.7865,11837874.6182,4081074.6618,30382513.5079,2191450.6350,33636382.8676
0.00520950,154523903.4140,80667290.9777,6463116.9809,23232772.1004,1949745.1984,2928182.0929,4574702.1441,4772235.1833,303530.2511,1661458.5473,1277461.9812,109218449.2792,63273629.8924,33286611.1445,14957787.7890,2654476.7496,26965842.0072,5302760.5246,168654.0629,2238576.6471,719032.5862,141011507.8845,327350179.2108,87696307.8059,3949097.6303,118595618.0920,4179859.8671,20550226.6397,9071565.2461,57740832.8243,415564.8831,23951670.3825,3112298.7319,2737091.1489,574275.4280,235653.3746,2764081.0233,5248142.0790,578854.8678,112093026.0886,1036854.4084,3584491.4494,3491124.5556,1931507.9372,368796.9570,927131.3327,2992660.5204,2524618.0189,10515311.6248,2844597.2202,1230040.4923,2762490.5737,626866.0937,83828.1843,34841714.7878,8233516.0905,42573217.4017,13370727.7949,494742.0609,1663287.9738,12874413.2004,64615.0757,394503.0502,872120.1921,10409340.4293,14844624.4630,7936898.2951,10009309.3380,5932812.8401,48326731.3409
0.00558160,45523186.8727,26051968.3120,4089787.5382,4983454.4035,3680198.2350,293169.8000,6265647.9140,6936806.0191,953225.3494,736494.4791,1584206.1630,125356691.9614,28321067.3106,145257347.3327,5712348.3483,10473658.1108,31489635.6691,458935.2069,421420.4177,1288852.2048,541619.3181,8165690.7893,100832124.7728,55819734.4949,9239452.3473,189575650.2658,3931686.5167,14865042.7313,2573728.9664,124811050.3574,18070955.2296,1459565.5363,130748.4314,703859.7861,2081956.3982,195863.0641,1994983.0476,4864159.7142,830245.4074,13406023.6508,23264767.5761,8652125.8140,6358520.6421,2291139.4013,330438.2178,2625204.8787,3298341.5273,812563.7326,13838336.3130,1602122.5983,867535.0555,367011.5336,819368.5651,1156678.9645,2906618.9805,359131.4445,1533344.8151,8387825.7530,462243.4781,3002102.7958,45414537.4378,144574.7077,6080.3052,11874921.5723,17813890.6748,5249124.9910,1811134.1030,1619175.7768,2356318.1291,22145106.6140
0.00595371,25865998.5089,1600035.6672,9080095.0584,3848448.2006,3726267.6438,1044700.1360,2687915.6605,2164851.5710,1391699.8550,169251.6763,402382.1038,11197550.5991,676059.5347,82132780.0321,2613204.3424,11770263.1487,23640775.3805,1278215.5068,299554.2885,1221014.1066,256597.5690,152646743.0217,69764995.6210,157700684.0244,8378195.2254,114967719.8369,3162527.9520,5338338.6314,26514675.6645,149732899.3244,2018856.7548,7685543.4801,1861918.2700,1414155.6544,398444.0808,301051.4622,5491417.8057,3447378.9526,68734.5864,27194479.9276,326034.2458,3748364.5478,17914599.5877,782302.3201,298476.0185,1445598.7176,1479840.8951,723528.0000,11273968.4251,44441.3604,1533221.7708,170728.2627,1410764.7447,511547.8431,9695858.0989,3398941.0315,7966424.8908,522287.6151,379612.9364,13341511.8649,30530109.5076,25664.4726,375704.8463,8032186.5814,38802337.0982,2743344.8504,182856.7805,1169600.6573,357370.3598,264239.8944
0.00632582,53849231.7707,9413414.6648,14151086.9672,517197.1415,1432612.7059,1168647.3061,3400504.8337,836360.4392,1997953.3035,43513.5675,257449.3770,8827452.6036,13678162.0435,8907302.8471,256920.4868,4674983.5629,5631364.9897,2002672.8595,1261731.5021,1858060.8272,161433.8066,63184426.3113,212562288.3209,51067420.1194,3511571.8723,62152149.4462,1773055.8798,15935591.8643,2634904.7402,54476027.5249,11678737.1366,13563226.7799,835476.7080,7910591.9313,55842.4404,182211.0579,8504502.6964,4052269.1622,148071.3886,51316395.9640,29592564.4985,2621888.1102,9252946.8438,343294.6802,921846.5877,513417.6663,7645755.9509,7389195.6714,6072398.6958,283841.2588,2275508.4645,1940665.0347,2169782.1712,447781.7531,7450016.9592,5304174.7676,3218777.9573,1088239.0585,291183.0905,10988086.6619,25772357.8229,419840.4073,101828.6589,2266123.8133,34026995.1148,5077670.2841,2439533.1842,693433.5453,4731999.5885,11001240.2590
0.00669792,3137513.7397,39666054.6392,24048590.2913,19476057.1289,775722.8244,462369.6602,1683172.7412,913989.6318,5826474.8938,93950.9758,30061.9962,20428213.5910,6612763.1573,6502475.2606,79843.2762,474671.6037,2716924.8671,3891943.2265,514759.0970,930605.5713,35686.8048,9267766.3649,127123308.8731,18915265.4208,1329928.0513,24590985.2345,361912.2716,11662592.3525,43755169.5612,5404842.3596,32488584.1627,8195681.9913,193782.6869,5761863.7142,127981.4504,63069.2031,741554.5598,6022160.5165,527247.3130,7797865.2312,38009452.6409,585832.2296,2228001.5936,487792.5203,891609.5677,218183.5364,5714840.1483,4881294.6637,5418365.0020,1715735.7253,1381340.6907,2636145.5263,1598844.2314,144663.8421,13962320.1688,696835.4506,2875632.0563,2870729.9046,193004.5360,1345931.8623,2673875.5055,320888.9661,71560.8769,489629.6590,5414060.1909,2704993.5565,1073713.3882,950242.9588,8657729.0265,2344152.0479
0.00707003,12381200.7742,28474889.2347,8911181.6453,27890099.5296,691015.0734,20462.4226,1646995.2738,153269.1795,5848362.1933,270370.9431,13245.4876,13616435.2678,11410259.8680,12269177.3254,10870992.5971,1826189.6617,11168333.9714,2237012.1257,194084.7863,145571.8263,22483.9659,8340535.1048,8000818.5986,66375875.3723,1522926.5096,22188976.7500,1686426.8000,710829.7017,35796595.9399,29542387.9015,11668424.6424,4186573.5461,1134793.4888,3323929.5194,278496.7978,108271.0906,356992.0443,10245654.3129,663283.8177,8218972.3409,45726761.7186,1284832.5301,121748.0078,309379.5848,177058.8265,682516.6132,2899173.4830,2185663.5213,2300977.3406,1405352.6855,449707.3779,435235.0384,1468190.0357,170658.2345,13337869.9582,876582.8973,4032082.8189,7380231.5541,127623.7575,268065.8201,5849308.9384,66228.7061,57967.7835,639851.9738,47512036.9471,2330782.7595,490013.6645,1586127.1551,976947.6540,2813475.2467
0.00744214,7654777.6575,16499323.9628,2384560.8221,10598351.8823,444191.7446,263185.2464,6577551.5808,489347.3992,11119563.5955,114548.2535,467865.3694,8554905.1079,18760060.7846,11842914.0467,12320045.4784,2930349.3752,7988238.4260,1023403.0221,79900.1837,1026042.6400,88089.9170,46577247.4861,20363041.6502,41377663.2621,1288933.4878,33148030.4618,1180554.7905,2135030.8527,3160057.9891,14812123.4106,29683807.8051,168244.9768,979665.5210,1117133.5553,282384.4645,348929.1159,175731.0316,19662477.6732,16044.0665,12817491.6665,66007682.0895,3626799.0591,906766.2422,766611.4386,241520.3501,98308.4214,1221924.5752,2247398.8781,942853.3596,375027.9518,91807.0928,2528222.8234,728481.7006,12243.1788,2880618.0369,433131.0132,328662.6801,3899067.4407,108095.8167,641262.3290,6379115.6331,5539.8287,75244.3119,621532.2039,67293882.5510,2207694.0757,162030.1052,822865.1716,299817.1123,1270597.4232
