frequency,20251210_155950.JPG_T1,20251210_155950.JPG_T2,20251210_155950.JPG_T3,20251210_155950.JPG_T4,20251210_155519.JPG_T5,20251210_155519.JPG_T6,20251210_155519.JPG_T7,20251210_155519.JPG_T8,20251210_155519.JPG_T9,20251210_155519.JPG_T10,20251210_155519.JPG_T11,20251210_155519.JPG_T12,20251210_155519.JPG_T13,20251210_155519.JPG_T14,20251210_155530.JPG_T15,20251210_155530.JPG_T16,20251210_155530.JPG_T17,20251210_155530.JPG_T18,20251210_155530.JPG_T19,20251210_155530.JPG_T20,20251210_155530.JPG_T21,20251210_155530.JPG_T22,20251210_155530.JPG_T23,20251210_155530.JPG_T24,20251210_155530.JPG_T25,20251210_155530.JPG_T26,20251210_155530.JPG_T27,20251210_155614.JPG_T28,20251210_155614.JPG_T29,20251210_155614.JPG_T30,20251210_155614.JPG_T31,20251210_155614.JPG_T32,20251210_155614.JPG_T33,20251210_155713.JPG_T34,20251210_155713.JPG_T35,20251210_155748.JPG_T36,20251210_155748.JPG_T37,20251210_155748.JPG_T38,20251210_155819.JPG_T39,20251210_155819.JPG_T40
0.23292941,25.9726,0.5868,24.4321,36.2549,1676.4676,0.0257,43.5917,185.9613,233.5751,131570.8320,3067.3884,74.6177,3.6435,109.6537,502.3447,30.9044,6.0420,30.5183,35.4773,182.3037,694.6731,1225.6080,392.9599,85.4608,97.5455,469.0734,1576.5651,233.4255,1.3269,0.8145,30.4719,667.5588,5.2968,406.5537,247.3546,11.1262,647.3897,958.3999,86.9469,1443.6697
0.23366420,32.0832,1.9802,49.8458,29.6136,855.0057,17.1887,36.1237,91.1772,111.5247,51518.1216,1365.9788,94.7784,4.2457,144.2840,340.8006,91.6292,21.6859,75.7165,68.1144,42.8302,155.0105,849.2158,2449.7090,927.2165,1634.6869,650.2713,1562.3650,761.9133,2.6924,6.0495,90.1007,595.7459,2.9944,62.6102,90.9103,0.3604,92.7291,850.9740,70.6203,1110.0596
0.23439900,12.5067,3.8513,42.4097,0.7510,606.7916,38.5076,71.3803,252.2333,290.3630,22058.9501,8047.1630,47.2790,2.9160,339.4765,107.0037,14.3283,24.1621,23.5839,43.9437,13.6988,22.3796,937.5674,6923.2423,1656.1536,2449.4815,146.1344,4159.5253,508.8182,1.2686,8.4339,0.6897,485.8665,6.2260,6.1774,43.5696,20.5944,277.7545,473.0355,46.5624,515.9312
0.23513379,6.6679,1.5048,23.8119,1.1122,757.0951,274.0167,2.1490,103.7922,422.5565,11242.2040,19905.0511,14.4141,6.9620,252.5379,335.6071,31.4580,31.8184,8.8656,26.3625,22.5515,33.8522,908.1761,8394.5390,790.9326,1172.4619,2482.6333,9281.0667,526.6400,0.6608,6.6275,6.2872,550.5777,4.9289,2.1189,17.8913,86.4988,91.9776,204.3290,59.8535,168.8076
0.23586858,23.2054,2.9492,1.1243,9.1597,661.7384,363.1615,58.5018,107.5534,108.8263,5356.9946,13268.2403,71.6158,17.8871,468.9946,312.1835,6.8962,33.6336,16.3695,25.5443,7.7831,36.1737,25.8352,4715.3247,234.5155,1391.0970,1467.9077,7369.6183,2413.9135,0.2023,5.6528,5.8594,434.6696,18.2211,40.1617,121.4988,89.0184,841.7140,11.4810,207.1832,4443.4321
0.23660337,55.9865,8.7001,6.1948,7.3002,1858.3985,127.3279,23.0970,82.8361,399.2315,4538.3888,1835.9610,47.3543,16.5085,173.1120,353.8971,7.7186,35.6737,10.1553,1.6984,38.4343,22.5882,209.7937,2781.4815,549.7113,359.5695,768.7883,5036.7923,2935.4427,1.4852,4.2251,0.5814,496.7842,37.6903,96.2017,165.9358,52.8174,117.1764,22.7131,78.7035,4351.5478
0.23733817,10.4945,3.6010,14.5829,13.5410,699.5745,66.3840,41.4893,56.1363,111.3810,9481.0472,1781.2088,0.9008,27.4937,1027.0517,53.6733,18.4854,18.5928,18.5019,1.2315,32.0963,236.4888,957.7718,2599.4100,315.7874,342.3168,7527.5395,3475.4061,1561.1611,3.1298,2.6262,14.6074,547.3005,57.4449,13.3320,96.8141,26.3481,133.9699,39.9348,63.2250,6581.1921
0.23807296,23.2989,9.9172,8.9350,1.3879,131.9296,44.9819,105.0199,297.4481,7.2598,35720.2043,2636.2835,40.1730,23.3892,287.7810,114.7983,7.1066,52.0848,46.7146,13.5260,96.9050,592.0056,1847.5268,1583.8436,775.1848,434.3243,12420.6778,3017.9903,623.1245,3.1615,3.0333,50.7679,255.0494,5.0553,15.3630,7.0469,21.4359,402.2844,136.3218,39.2237,4996.2610
0.23880775,107.5664,5.9342,11.3651,1.6446,156.7163,3.2599,52.4235,171.4299,142.5911,50099.1179,3798.0983,24.1978,8.3299,1634.4298,15.2406,4.0355,24.2702,56.1576,19.0097,168.1628,210.1548,167.0896,232.8229,412.4445,553.8466,3137.8429,876.7169,605.0170,3.0963,7.5345,168.3511,237.8662,24.6580,39.2828,78.7154,20.6059,136.5156,322.2912,8.1179,180.5748
0.23954255,109.3668,4.3388,11.6140,5.2035,251.8068,20.4422,89.6627,51.7239,434.3934,45730.0198,1529.9617,73.8878,2.1512,748.1778,33.7719,17.6085,4.4570,33.9096,32.5731,144.5702,16.0553,364.7806,137.6119,412.1268,1173.3805,29.8230,1001.3714,601.4540,1.0042,7.4337,113.9775,533.8776,57.0580,39.6041,42.4742,79.4854,133.2423,536.1891,0.6088,777.6286
0.24027734,40.8434,7.7615,11.6507,12.8322,164.0450,13.5027,129.8997,84.6485,63.1538,32745.4383,7700.5170,65.7139,9.8484,275.3131,105.1789,61.4837,0.0186,5.5965,11.3737,102.9232,178.0345,1418.6580,957.1269,705.2406,3199.8055,285.4188,2635.0653,822.6648,0.1252,2.0126,69.6321,486.3098,30.5386,133.9489,12.7635,49.8891,313.3091,528.2047,285.7292,2370.8081
0.24101213,18.8584,4.9362,42.3532,18.7613,274.0042,69.9582,61.8377,94.6085,72.5075,12342.9527,2356.8387,20.4750,7.6306,446.1363,83.4634,54.4230,4.0232,2.3126,13.4949,38.4738,57.1013,174.6707,1564.9214,168.4332,7100.1382,49.9557,3588.6862,2985.7214,0.7233,4.1221,1.7381,537.6653,0.3078,47.4167,37.9949,13.3919,452.4477,536.5483,148.8005,5594.2626
0.24174693,12.0930,1.4955,23.1119,2.3649,406.2263,8.3241,99.2913,113.1511,94.4486,7300.2613,6002.1501,26.7148,1.7520,640.8816,17.2521,136.1959,6.0271,1.2955,41.1808,2.4201,83.8710,561.3472,5.7205,85.2296,5560.8640,293.7515,4149.7785,1852.8446,3.0233,7.8453,58.1001,1958.5743,1.5273,37.0211,13.1828,111.7037,544.9464,276.4587,21.2876,507.3105
0.24248172,3.4496,0.9253,11.6008,15.7815,123.9453,184.7032,95.5534,405.4919,38.5418,29166.7137,12805.5846,0.2529,0.3681,144.6733,10.4966,128.6461,18.0400,10.4275,13.3043,1.8770,113.6521,953.1425,1060.3902,406.4219,2363.9547,933.1345,1278.2479,1610.4579,1.8117,1.7736,13.2437,2227.2647,1.2876,56.3107,17.0553,34.6955,745.1272,26.7166,30.0964,275.3417
0.24321651,33.6419,0.0858,31.4414,33.4013,522.5826,180.8077,1.8471,238.8463,3.0838,45784.6295,30745.9998,21.4793,1.4515,539.7360,168.8163,52.3555,24.5893,4.2732,32.6076,8.2549,12.6037,842.9488,566.9931,1424.7624,2062.4973,2172.3171,1196.4940,2546.0227,0.2323,1.7994,13.1021,2609.0994,32.0138,94.7754,4.3852,8.9384,771.9214,172.0290,69.9003,1108.9588
0.24395131,22.3330,2.1861,24.9008,25.8317,70.9643,135.9668,81.6602,73.8713,0.6400,87210.2759,30702.8419,28.4626,3.2611,417.6987,605.8674,18.1822,70.7060,6.6084,71.0990,69.0367,126.3575,591.2733,2160.6706,1846.0206,573.1914,526.0816,671.6044,3111.7291,0.6450,4.3711,28.6121,2185.4382,72.2021,92.9448,82.4849,4.4732,1072.9103,246.3768,33.4516,954.4657
0.24468610,0.4604,1.6144,21.9393,5.4496,134.8172,277.1770,76.7509,334.6013,295.1175,70976.7408,10536.4601,98.8132,0.0796,439.3454,231.3366,17.7494,51.4010,33.9742,52.1677,5.3730,477.3063,53.0129,4723.1329,1161.0441,323.3796,2287.6140,984.5942,1459.4827,0.6598,0.2841,16.4974,842.3112,30.0057,26.0404,54.2620,145.9953,425.2308,324.1096,67.0954,326.6250
0.24542089,12.9202,0.7390,13.3105,0.3507,671.2117,124.2526,46.5416,308.0898,471.0620,79769.6798,2464.6923,81.3994,10.2152,82.0805,42.1255,0.6826,11.7439,45.9157,50.9501,30.8453,279.3971,144.0291,3658.3835,216.7148,728.1537,611.3475,2248.0066,875.8063,0.8964,0.6072,5.7934,845.0746,2.7466,38.8841,4.3848,187.4837,398.2570,62.3349,48.3722,975.5466
0.24615568,20.3637,4.8584,67.0986,0.1853,334.2736,168.6854,31.7759,432.3799,153.4855,33889.5597,13346.2723,21.8651,12.3078,317.2824,68.8748,12.4149,6.1494,49.9546,76.6498,3.2381,66.1979,90.9944,3417.8885,3.2324,109.3108,658.0472,732.6208,234.4511,4.3100,17.7944,29.3692,1625.4681,24.5354,75.4245,6.3771,33.1986,714.4928,22.6740,304.3517,1230.6999
0.24689048,1.0064,8.1947,26.2755,3.3145,471.1383,406.5942,8.5922,548.4687,623.4655,7759.5042,3549.4572,38.6548,4.7833,335.3275,14.4268,31.5694,11.7378,10.6955,43.3196,69.4421,246.9873,879.9044,3861.9176,42.8044,467.5181,1883.9924,683.4652,442.1815,2.8156,16.2588,13.7771,288.4454,61.2594,68.0318,11.0081,6.5389,202.7263,165.0567,203.8312,4446.0062
