file,genus,mag,area_um2,equiv_diameter_um,perimeter_um,circularity,solidity
Pink_10X_1.TIF,Aspergillus,10,891.0,33.6817,129.0,0.6728,0.877
Pink_10X_1.TIF,Aspergillus,10,90.0,10.7047,35.0,0.9232,1.0714
Pink_10X_1.TIF,Aspergillus,10,280.0,18.8814,54.0,1.2066,1.0895
Pink_10X_1.TIF,Aspergillus,10,1659.0,45.9598,221.0,0.4268,0.7461
Pink_10X_1.TIF,Aspergillus,10,134.0,13.0619,55.0,0.5567,0.8481
Pink_10X_1.TIF,Aspergillus,10,286.0,19.0826,110.0,0.297,0.5983
Pink_10X_1.TIF,Aspergillus,10,220.0,16.7366,62.0,0.7192,0.9888
Pink_10X_1.TIF,Aspergillus,10,72.0,9.5746,27.0,1.2411,1.1429
Pink_10X_1.TIF,Aspergillus,10,167.0,14.5819,56.0,0.6692,0.893
Pink_10X_1.TIF,Aspergillus,10,182.0,15.2227,81.0,0.3486,0.963
Pink_10X_1.TIF,Aspergillus,10,123.0,12.5143,35.0,1.2618,1.1389
Pink_10X_1.TIF,Aspergillus,10,444.0,23.7764,92.0,0.6592,0.9944
Pink_10X_1.TIF,Aspergillus,10,409.0,22.8201,97.0,0.5462,0.7674
Pink_10X_1.TIF,Aspergillus,10,1350.0,41.4593,178.0,0.5354,0.8257
Pink_10X_1.TIF,Aspergillus,10,266.0,18.4033,96.0,0.3627,0.6108
Pink_10X_1.TIF,Aspergillus,10,55.0,8.3683,31.0,0.7192,1.0377
Pink_10X_1.TIF,Aspergillus,10,608.0,27.8232,87.0,1.0094,1.0167
Pink_10X_1.TIF,Aspergillus,10,111.0,11.8882,48.0,0.6054,1.1212
Pink_10X_1.TIF,Aspergillus,10,131.0,12.9149,43.0,0.8903,1.1008
Pink_10X_1.TIF,Aspergillus,10,396.0,22.4545,86.0,0.6728,0.9145
Pink_10X_1.TIF,Aspergillus,10,118.0,12.2573,40.0,0.9268,1.1401
Pink_10X_1.TIF,Aspergillus,10,50.0,7.9788,25.0,1.0053,1.2346
Pink_10X_1.TIF,Aspergillus,10,110.0,11.8345,39.0,0.9088,1.1168
Pink_10X_1.TIF,Aspergillus,10,1490.0,43.556,284.0,0.2321,0.433
Pink_10X_1.TIF,Aspergillus,10,215.0,16.5453,49.0,1.1253,1.075
Pink_10X_1.TIF,Aspergillus,10,94.0,10.94,37.0,0.8628,1.0682
Pink_10X_1.TIF,Aspergillus,10,54.0,8.2919,25.0,1.0857,1.1868
Pink_10X_1.TIF,Aspergillus,10,76.0,9.837,42.0,0.5414,1.0857
Pink_10X_1.TIF,Aspergillus,10,59.0,8.6672,30.0,0.8238,1.0727
Pink_10X_1.TIF,Aspergillus,10,389.0,22.2551,69.0,1.0267,1.0264
Pink_10X_1.TIF,Aspergillus,10,72.0,9.5746,44.0,0.4673,1.0286
Pink_10X_1.TIF,Aspergillus,10,18290.0,152.6026,1495.0,0.1028,0.3919
Pink_10X_1.TIF,Aspergillus,10,138.0,13.2555,59.0,0.4982,0.8519
Pink_10X_1.TIF,Aspergillus,10,6776.0,92.8842,566.0,0.2658,0.6819
Pink_10X_1.TIF,Aspergillus,10,120.0,12.3608,43.0,0.8156,1.0526
Pink_10X_1.TIF,Aspergillus,10,112.0,11.9416,36.0,1.086,1.1487
Pink_10X_1.TIF,Aspergillus,10,179.0,15.0967,52.0,0.8319,0.965
Pink_10X_1.TIF,Aspergillus,10,57.0,8.5191,30.0,0.7959,1.1753
Pink_10X_1.TIF,Aspergillus,10,161.0,14.3175,48.0,0.8781,1.0952
Pink_10X_1.TIF,Aspergillus,10,2801.0,59.7189,265.0,0.5012,0.8637
Pink_10X_1.TIF,Aspergillus,10,482.0,24.773,73.0,1.1366,1.0536
Pink_10X_1.TIF,Aspergillus,10,91.0,10.7641,35.0,0.9335,1.0706
Pink_10X_1.TIF,Aspergillus,10,75.0,9.7721,29.0,1.1207,1.2397
Pink_10X_1.TIF,Aspergillus,10,62.0,8.8849,38.0,0.5396,1.3478
Pink_10X_1.TIF,Aspergillus,10,268.0,18.4724,74.0,0.615,0.8904
Pink_10X_1.TIF,Aspergillus,10,4424.0,75.0521,437.0,0.2911,0.7319
Pink_10X_1.TIF,Aspergillus,10,466.0,24.3584,93.0,0.6771,1.0141
Pink_10X_1.TIF,Aspergillus,10,879.0,33.4541,205.0,0.2628,0.4938
Pink_10X_1.TIF,Aspergillus,10,182.0,15.2227,70.0,0.4668,0.8525
Pink_10X_1.TIF,Aspergillus,10,372.0,21.7634,83.0,0.6786,0.8953
Pink_10X_1.TIF,Aspergillus,10,102.0,11.3961,47.0,0.5802,0.8608
Pink_10X_1.TIF,Aspergillus,10,670.0,29.2074,120.0,0.5847,0.8375
Pink_10X_1.TIF,Aspergillus,10,314.0,19.9949,92.0,0.4662,0.8263
Pink_10X_1.TIF,Aspergillus,10,200.0,15.9577,60.0,0.6981,0.9368
Pink_10X_1.TIF,Aspergillus,10,147.0,13.6809,48.0,0.8018,0.9866
Pink_10X_1.TIF,Aspergillus,10,110.0,11.8345,40.0,0.8639,1.164
Pink_10X_1.TIF,Aspergillus,10,817.0,32.2527,164.0,0.3817,0.7671
Pink_10X_1.TIF,Aspergillus,10,57.0,8.5191,25.0,1.1461,1.2809
Pink_10X_1.TIF,Aspergillus,10,595.0,27.5241,115.0,0.5654,0.8446
Pink_10X_1.TIF,Aspergillus,10,94.0,10.94,31.0,1.2292,1.1325
Pink_10X_1.TIF,Aspergillus,10,90.0,10.7047,31.0,1.1769,1.1688
Pink_10X_1.TIF,Aspergillus,10,7521.0,97.8572,493.0,0.3889,0.6369
Pink_10X_1.TIF,Aspergillus,10,1206.0,39.1858,127.0,0.9396,1.0046
Pink_10X_1.TIF,Aspergillus,10,662.0,29.0325,178.0,0.2626,0.4866
Pink_10X_1.TIF,Aspergillus,10,113.0,11.9948,48.0,0.6163,0.9536
Pink_10X_1.TIF,Aspergillus,10,324.0,20.3108,63.0,1.0258,1.0351
Pink_10X_1.TIF,Aspergillus,10,12204.0,124.654,1084.0,0.1305,0.358
Pink_10X_1.TIF,Aspergillus,10,564.0,26.7975,78.0,1.1649,1.033
Pink_10X_1.TIF,Aspergillus,10,498.0,25.1808,93.0,0.7236,0.9459
Pink_10X_1.TIF,Aspergillus,10,59.0,8.6672,26.0,1.0968,1.2826
Pink_10X_1.TIF,Aspergillus,10,407.0,22.7642,76.0,0.8855,0.9737
Pink_10X_1.TIF,Aspergillus,10,110.0,11.8345,38.0,0.9573,1.0427
Pink_10X_1.TIF,Aspergillus,10,428.0,23.3441,75.0,0.9562,1.0106
Pink_10X_1.TIF,Aspergillus,10,1502.0,43.7311,413.0,0.1107,0.2394
Pink_10X_1.TIF,Aspergillus,10,3059.0,62.4087,262.0,0.56,0.9157
Pink_10X_1.TIF,Aspergillus,10,135.0,13.1106,56.0,0.541,0.8852
Pink_10X_1.TIF,Aspergillus,10,2860.0,60.3446,280.0,0.4584,0.7236
Pink_10X_1.TIF,Aspergillus,10,120.0,12.3608,41.0,0.8971,1.0667
Pink_10X_1.TIF,Aspergillus,10,437.0,23.5883,77.0,0.9262,1.0058
Pink_10X_1.TIF,Aspergillus,10,123.0,12.5143,43.0,0.8359,1.0885
Pink_10X_1.TIF,Aspergillus,10,100.0,11.2838,42.0,0.7124,0.9852
Pink_10X_1.TIF,Aspergillus,10,60.0,8.7404,29.0,0.8965,1.0909
Pink_10X_1.TIF,Aspergillus,10,180.0,15.1388,54.0,0.7757,0.9626
Pink_10X_1.TIF,Aspergillus,10,66.0,9.167,29.0,0.9862,1.211
