,metric,groups_tested,KW_H,KW_p,group_A,median_A,IQR_A,group_B,median_B,IQR_B,U,p_raw,p_bonf,Cliff_d,effect_size,linear_R2,linear_p,quad_coeff,F_for_curvature,p_curvature,curvature_sig,OLS_slope,OLS_slope_SE,OLS_slope_95CI,OLS_intercept,TheilSen_slope,TheilSen_95CI,slope_pct_diff,Pearson_r,Pearson_p,R2,R2_boot_95CI,Spearman_rho,Spearman_p,regression,n,slope_SE,slope_95CI,intercept,intercept_SE,intercept_95CI,p_value,slope_pct_diff_OLS_vs_TS,Healthy_median,Healthy_IQR,Diseased_median,Diseased_IQR,MW_U,MW_p,Welch_t,Welch_p,effect,analysis,min_detectable_f2,min_detectable_R2,alpha,power,section,group,statistic
═══ KRUSKAL-WALLIS TESTS ═══,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,zone_metric,,,,2:1,1.666,1.654–1.832,Black,0.2752,0.2273–0.2929,25.0,0.007937,0.1667,1.000,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,zone_metric,,,,Green,0.5498,0.5201–0.6539,White,0.4398,0.3791–0.6044,16.0,0.5476,1,0.280,small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,zone_metric,,,,Green,0.5498,0.5201–0.6539,Black,0.2752,0.2273–0.2929,21.0,0.09524,1,0.680,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,zone_metric,,,,White,0.4398,0.3791–0.6044,Black,0.2752,0.2273–0.2929,23.0,0.03175,0.6667,0.840,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dtau50_dr,,,,Agar,-0.003676,-0.07143–0.01021,0.5:1,0.8292,0.8174–0.8419,0.0,0.007937,0.1667,-1.000,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dtau50_dr,,,,Agar,-0.003676,-0.07143–0.01021,1:1,0.9048,0.881–1.085,0.0,0.007937,0.1667,-1.000,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dtau50_dr,,,,Agar,-0.003676,-0.07143–0.01021,2:1,1.763,1.745–2.138,0.0,0.007937,0.1667,-1.000,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dtau50_dr,,,,Agar,-0.003676,-0.07143–0.01021,Green,0.386,0.3259–0.3946,0.0,0.007937,0.1667,-1.000,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dtau50_dr,,,,Agar,-0.003676,-0.07143–0.01021,White,0.6515,0.4739–0.6711,0.0,0.007937,0.1667,-1.000,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dtau50_dr,,,,Agar,-0.003676,-0.07143–0.01021,Black,0.1866,0.07143–0.2894,3.0,0.05556,1,-0.760,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dtau50_dr,,,,0.5:1,0.8292,0.8174–0.8419,1:1,0.9048,0.881–1.085,3.0,0.05556,1,-0.760,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dtau50_dr,,,,0.5:1,0.8292,0.8174–0.8419,2:1,1.763,1.745–2.138,0.0,0.007937,0.1667,-1.000,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dtau50_dr,,,,0.5:1,0.8292,0.8174–0.8419,Green,0.386,0.3259–0.3946,25.0,0.007937,0.1667,1.000,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dtau50_dr,,,,0.5:1,0.8292,0.8174–0.8419,White,0.6515,0.4739–0.6711,19.0,0.2222,1,0.520,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dtau50_dr,,,,0.5:1,0.8292,0.8174–0.8419,Black,0.1866,0.07143–0.2894,20.0,0.1508,1,0.600,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dtau50_dr,,,,1:1,0.9048,0.881–1.085,2:1,1.763,1.745–2.138,0.0,0.007937,0.1667,-1.000,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dtau50_dr,,,,1:1,0.9048,0.881–1.085,Green,0.386,0.3259–0.3946,25.0,0.007937,0.1667,1.000,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dtau50_dr,,,,1:1,0.9048,0.881–1.085,White,0.6515,0.4739–0.6711,23.0,0.03175,0.6667,0.840,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dtau50_dr,,,,1:1,0.9048,0.881–1.085,Black,0.1866,0.07143–0.2894,21.0,0.09524,1,0.680,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dtau50_dr,,,,2:1,1.763,1.745–2.138,Green,0.386,0.3259–0.3946,25.0,0.007937,0.1667,1.000,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dtau50_dr,,,,2:1,1.763,1.745–2.138,White,0.6515,0.4739–0.6711,25.0,0.007937,0.1667,1.000,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dtau50_dr,,,,2:1,1.763,1.745–2.138,Black,0.1866,0.07143–0.2894,25.0,0.007937,0.1667,1.000,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dtau50_dr,,,,Green,0.386,0.3259–0.3946,White,0.6515,0.4739–0.6711,5.0,0.1508,1,-0.600,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dtau50_dr,,,,Green,0.386,0.3259–0.3946,Black,0.1866,0.07143–0.2894,19.0,0.2222,1,0.520,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dtau50_dr,,,,White,0.6515,0.4739–0.6711,Black,0.1866,0.07143–0.2894,18.0,0.3095,1,0.440,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,max_slope,,,,Agar,0.01105,0.01034–0.01804,0.5:1,0.03286,0.02871–0.04651,0.0,0.007937,0.1667,-1.000,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,max_slope,,,,Agar,0.01105,0.01034–0.01804,1:1,0.02724,0.02127–0.02887,4.0,0.09524,1,-0.680,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,max_slope,,,,Agar,0.01105,0.01034–0.01804,2:1,0.04324,0.02907–0.04404,0.0,0.007937,0.1667,-1.000,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,max_slope,,,,Agar,0.01105,0.01034–0.01804,Green,0.06498,0.05162–0.07398,0.0,0.007937,0.1667,-1.000,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,max_slope,,,,Agar,0.01105,0.01034–0.01804,White,0.03017,0.0266–0.04553,3.0,0.05556,1,-0.760,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,max_slope,,,,Agar,0.01105,0.01034–0.01804,Black,0.02706,0.01299–0.03581,7.0,0.3095,1,-0.440,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,max_slope,,,,0.5:1,0.03286,0.02871–0.04651,1:1,0.02724,0.02127–0.02887,19.0,0.2222,1,0.520,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,max_slope,,,,0.5:1,0.03286,0.02871–0.04651,2:1,0.04324,0.02907–0.04404,12.0,1,1,-0.040,negligible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,max_slope,,,,0.5:1,0.03286,0.02871–0.04651,Green,0.06498,0.05162–0.07398,4.0,0.09524,1,-0.680,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,max_slope,,,,0.5:1,0.03286,0.02871–0.04651,White,0.03017,0.0266–0.04553,15.0,0.6905,1,0.200,small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,max_slope,,,,0.5:1,0.03286,0.02871–0.04651,Black,0.02706,0.01299–0.03581,17.0,0.4206,1,0.360,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,max_slope,,,,1:1,0.02724,0.02127–0.02887,2:1,0.04324,0.02907–0.04404,3.0,0.05556,1,-0.760,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,max_slope,,,,1:1,0.02724,0.02127–0.02887,Green,0.06498,0.05162–0.07398,1.0,0.01587,0.3333,-0.920,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,max_slope,,,,1:1,0.02724,0.02127–0.02887,White,0.03017,0.0266–0.04553,8.0,0.4206,1,-0.360,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,max_slope,,,,1:1,0.02724,0.02127–0.02887,Black,0.02706,0.01299–0.03581,13.0,1,1,0.040,negligible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,max_slope,,,,2:1,0.04324,0.02907–0.04404,Green,0.06498,0.05162–0.07398,4.0,0.09524,1,-0.680,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,max_slope,,,,2:1,0.04324,0.02907–0.04404,White,0.03017,0.0266–0.04553,15.0,0.6905,1,0.200,small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,max_slope,,,,2:1,0.04324,0.02907–0.04404,Black,0.02706,0.01299–0.03581,19.0,0.2222,1,0.520,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,max_slope,,,,Green,0.06498,0.05162–0.07398,White,0.03017,0.0266–0.04553,22.0,0.05556,1,0.760,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,max_slope,,,,Green,0.06498,0.05162–0.07398,Black,0.02706,0.01299–0.03581,24.0,0.01587,0.3333,0.920,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,max_slope,,,,White,0.03017,0.0266–0.04553,Black,0.02706,0.01299–0.03581,15.0,0.6905,1,0.200,small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
═══ LINEARITY TESTS (F-test for curvature) ═══,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,delta_um,,,,,,,,,,,,,,,0.9195,2.719e-11,5762,5.689,0.02898,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,max_slope,,,,,,,,,,,,,,,0.2487,0.02521,-0.3688,0.612,0.4447,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r0_um,,,,,,,,,,,,,,,0.0069,0.7518,4.215e+04,10.267,0.006367,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,alpha,,,,,,,,,,,,,,,0.1148,0.1439,0.02775,1.682,0.2119,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,y_near,,,,,,,,,,,,,,,0.2305,0.03214,1100,11.991,0.002975,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,y_far,,,,,,,,,,,,,,,0.1262,0.1243,69.1,0.054,0.8191,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,transition_width_um,,,,,,,,,,,,,,,0.0761,0.2392,-2.896e+04,1.632,0.2187,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
═══ ROBUSTNESS: Hydrogel raw regressions (OLS vs Theil-Sen) ═══,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,delta_um,,,,,,,,,,,,,,,,,,,,,3007,209.7,"[2596, 3418]",69.51,2825,"[2207, 3327]",-6.1%,0.9589,2.719e-11,0.9195,"[0.8587, 0.9683]",0.9539,7.484e-11,,,,,,,,,,,,,,,,,,,,,,,,,,
,max_slope,,,,,,,,,,,,,,,,,,,,,0.08799,0.03604,"[0.01734, 0.1586]",0.01983,0.08729,"[0.02168, 0.1626]",-0.8%,0.4987,0.02521,0.2487,"[0.0139, 0.6732]",0.5507,0.01187,,,,,,,,,,,,,,,,,,,,,,,,,,
,r0_um,,,,,,,,,,,,,,,,,,,,,398.7,1238,"[-2028, 2825]",727.4,2955,"[-2272, 3961]",641.1%,0.0829,0.7518,0.0069,"[0.0001, 0.9031]",0.1202,0.646,,,,,,,,,,,,,,,,,,,,,,,,,,
