metric,trial_id,x,y,Cook_D,threshold,flagged
dtau50_dr_universal,0.5to1.7,0.06999999999999995,0.8419117647058824,0.03007912936263797,0.2,False
dtau50_dr_universal,1to1.1,0.13,1.0845588235294117,0.0011689537354219654,0.2,False
dtau50_dr_universal,1to1.2,0.13,0.8809523809523812,0.011032261628392062,0.2,False
dtau50_dr_universal,1to1.3,0.13,1.2916666666666667,0.030908711456481146,0.2,False
dtau50_dr_universal,1to1.4,0.13,0.904761904761905,0.007877237362116561,0.2,False
dtau50_dr_universal,1to1.5,0.13,0.8601190476190478,0.014227777701641816,0.2,False
dtau50_dr_universal,2to1.1,0.25,1.762820512820512,0.027564072587556755,0.2,False
dtau50_dr_universal,2to1.2,0.25,1.744505494505494,0.036523006368078384,0.2,False
dtau50_dr_universal,2to1.3,0.25,1.3344988344988344,0.5665358102585686,0.2,True
dtau50_dr_universal,2to1.4,0.25,2.2474747474747474,0.2477992536604919,0.2,True
dtau50_dr_universal,2to1.5,0.25,2.138278388278388,0.12126474939667424,0.2,False
max_slope_universal,agar.1,0.0,0.019651819677562,1.169282015078798e-05,0.2,False
max_slope_universal,agar.2,0.0,0.0180448591444377,0.00118946801437443,0.2,False
max_slope_universal,agar.3,0.0,0.0110500333910048,0.028807443045627323,0.2,False
max_slope_universal,agar.4,0.0,0.0058765445260038,0.07276639848904111,0.2,False
max_slope_universal,agar.5,0.0,0.0103421282838834,0.03364080057804608,0.2,False
max_slope_universal,0.5to1.2,0.06999999999999995,0.0662779843527043,0.25539528460885436,0.2,True
max_slope_universal,0.5to1.3,0.06999999999999995,0.0287054653654379,0.001162079477888904,0.2,False
max_slope_universal,0.5to1.4,0.06999999999999995,0.0465077754991263,0.06624759209314546,0.2,False
max_slope_universal,0.5to1.5,0.06999999999999995,0.0328582469395296,0.007426680266307861,0.2,False
max_slope_universal,0.5to1.7,0.06999999999999995,0.0240768744859686,0.0005744533255259615,0.2,False
max_slope_universal,1to1.1,0.13,0.0389635174097643,0.0078040344447523145,0.2,False
max_slope_universal,1to1.2,0.13,0.0288721432903519,0.000755480546255483,0.2,False
max_slope_universal,1to1.3,0.13,0.0212665411826555,0.01317475696100625,0.2,False
max_slope_universal,1to1.4,0.13,0.0084637992293114,0.06850167589216151,0.2,False
max_slope_universal,1to1.5,0.13,0.027240754844811,0.0021354292325261905,0.2,False
max_slope_universal,2to1.1,0.25,0.0290706016395362,0.0859871251888339,0.2,False
max_slope_universal,2to1.2,0.25,0.0620133516726433,0.21542461494967183,0.2,True
max_slope_universal,2to1.3,0.25,0.0279785327359506,0.10134223568297464,0.2,False
max_slope_universal,2to1.4,0.25,0.0432388411642631,0.0010563131142670348,0.2,False
max_slope_universal,2to1.5,0.25,0.0440422948796636,0.002598233327730791,0.2,False
