r_prime_um,beta,A,beta_se,r2,n_frames,epsilon_final,trial_id
300,0.029801640371854846,29.024243612277214,0.07656910160752618,0.016553186354138404,11,0.15321410506754984,1to1.4
1200,0.23537200143271234,17.924740517597083,0.05907996397294697,0.6648780750395183,10,0.09782147225773716,1to1.4
1500,0.2957817746666334,16.30762710562301,0.065523962994701,0.7725300127844763,8,0.08001047589723458,1to1.4
1800,0.24627544812949403,19.460651344836094,0.07483034813656676,0.6435245291472582,8,0.06922147419172674,1to1.4
2100,0.3345409787351014,15.782282723638556,0.10605565138981782,0.5870250778457214,9,0.06782103170350477,1to1.4
2400,0.14166818891085683,26.960321211500084,0.13085448180287368,0.18990394717555434,7,0.061767276394759554,1to1.4
2700,0.2423442143994594,20.788106880484953,0.0993997068285952,0.45921822299241283,9,0.052506534074690504,1to1.4
0,0.2285194960448696,9.951800622271849,0.03592343442366453,0.8180570313555815,11,0.04854523630185248,1to1.5
300,0.800941160877436,3.2620579444549738,0.06233563060824355,0.9537820558658623,10,0.12738597088655013,1to1.5
600,0.7113907070863159,4.809783505099346,0.10442865651129207,0.8689293343289493,9,0.10309521999281193,1to1.5
900,0.8333238739242157,3.905334367944704,0.05567872611311433,0.965517321807237,10,0.09574165637137834,1to1.5
1200,0.9544442452766334,2.9559609727328713,0.037540296856264956,0.9877751827606328,10,0.07912156387541808,1to1.5
1500,0.9528883307924042,3.1922128504641583,0.049407451133158975,0.9763756253744785,11,0.07760594810039761,1to1.5
1800,0.7184522843609097,5.49144127702122,0.04099062567255686,0.9715373555296803,11,0.065785936156567,1to1.5
2100,0.9050361079646967,3.563942977193105,0.05105998597802174,0.9721512368261628,11,0.06749207591298104,1to1.5
2400,0.8737751571662187,4.257659921286893,0.024251832914649683,0.993114561423915,11,0.05666901986959648,1to1.5
2700,1.0221029745577936,2.820851149425379,0.06988977940350186,0.9596187936205822,11,0.039063689133620634,1to1.5
0,0.1865582180154107,13.954368350654985,0.10686353528134639,0.27586621573327325,10,0.05313139373597873,2to1.1
