trial_id,group,system,a_w,n_droplets,delta_um,max_slope,alpha,y_near,y_far,r0_um,transition_width_um,zone_metric,dR_dr_um_per_mm,pearson_r,pearson_p,dtau50_dr,dtau50_dr_sizematched
1to1.5,1:1,Hydrogel,0.87,4377,462.7,0.0272407549577915,0.0014072352672838,4.859647263390598,43.57492905187325,637.6609420112381,1421.226461912322,1.2015042287634328,,,,0.8601190476190478,0.8113553113553114
2to1.1,2:1,Hydrogel,0.75,4090,681.1,0.0290706015923141,0.0014787819819457,4.87998472811619,44.19693874464184,814.9954744397664,1352.464409505735,1.4033693022020202,,,,1.762820512820512,1.3181818181818181
2to1.2,2:1,Hydrogel,0.75,2228,803.2,0.0620133527304705,0.0034829221415082,20.183007337846504,55.79296369685762,1064.5615881567862,574.2304647481833,1.6540699724941987,,,,1.744505494505494,1.4947552447552448
2to1.3,2:1,Hydrogel,0.75,5096,933.4,0.0279785307468467,0.0020419075359652,11.134556838138533,38.538864089123194,1108.1228160128885,979.4762812580228,1.6655261664061316,,,,1.3344988344988344,1.083333333333333
2to1.4,2:1,Hydrogel,0.75,3100,872.9,0.043238841148243,0.0020440009956937,5.78612298939271,48.09416612570893,1006.4000496022046,978.4731045696716,1.8316379262245437,,,,2.2474747474747474,1.6054778554778553
2to1.5,2:1,Hydrogel,0.75,2318,1005.4,0.044042330931754,0.0019603747088623,7.755993122086363,52.688557016784046,1096.5306734435326,1020.2131209704388,2.0211734253231626,,,,2.1382783882783882,1.9040404040404038
Green.1,Green,Fungi,,3602,279.5,0.0649804555572463,0.0047961804530766,21.46920481121052,48.56595656731353,415.1376352360349,416.99848860295214,0.5200638659407286,,,,0.4265565875472996,0.3543171654626763
Green.2,Green,Fungi,,3656,316.0,0.0516196977047248,0.0040420018129048,17.387681373749533,42.92933132547345,404.9563303626254,494.8043302738296,0.6538728930021959,,,,0.32593739250085996,0.2984176126590986
Green.3,Green,Fungi,,4882,297.8,0.0739818651082226,0.0045047755431319,5.06558123062271,37.9115529776575,306.15343087259873,443.9732858719743,0.5498058256090645,,,,0.2806372549019608,0.18382352941176472
Green.4,Green,Fungi,,4101,285.6,0.0964426190240834,0.0173861735852149,27.46704926682168,38.56122344510059,300.4723960568793,115.03393717987367,0.20076671943428906,,,,0.3946078431372549,0.13919413919413928
Green.5,Green,Fungi,,6927,311.7,0.0373267104658592,0.0025714077135719,3.892455826286003,32.924577234997244,366.4504276561956,777.7840866868081,0.6998871150239495,,,,0.3860294117647059,0.32066993464052296
white.1,White,Fungi,,3652,198.5,0.0455348658133981,0.0053302024697956,26.055170075987796,43.14077463657552,568.1332607698298,375.2202681480281,0.37908092439938074,,,,0.6710526315789472,0.32765737874097006
white.2,White,Fungi,,3260,126.2,0.0301740400139974,0.0013564144552022,6.714897235990772,51.20578259668704,254.10824232876283,1474.4755869634064,0.6044428022404497,,,,0.4738562091503267,0.05637254901960796
white.3,White,Fungi,,1628,120.0,0.0612768119495528,0.0022993369302173,11.860257648683415,65.1598077444241,326.07741179073685,869.8159776918615,0.6536955126398718,,,,0.8823529411764707,0.5070588235294118
white.4,White,Fungi,,3413,131.6,0.0266024717085761,0.0013893951616147,6.629032571663427,44.922633188005264,168.90032047829874,1439.4752877040612,0.4397886561138937,,,,0.6515151515151515,0.0
white.5,White,Fungi,,2845,123.0,0.0107892248946686,0.000579995884375,7.990320753464521,45.19480852770059,,3448.3003308810544,0.3748745338955008,,,,0.12641898864809087,0.0
black.1,Black,Fungi,,4690,125.4,0.0045338105019965,0.0005884784060033,10.664779412098987,26.073366900594845,,3398.5953938106795,0.2273056688938218,,,,0.0,0.0
black.2,Black,Fungi,,3142,98.0,0.027057476059429,0.0015169894995741,7.363342295533403,43.035937349123536,76.46914830172214,1318.400688047873,0.29293294979669676,,,,0.07142857142857141,0.0
black.3,Black,Fungi,,4513,111.7,0.0129890257963872,0.0014714444186195,16.18241242977957,33.83720880812028,50.00000000066082,1359.208662381072,0.18575285992728252,,,,1.25,
black.4,Black,Fungi,,8266,135.7,0.0358097641718117,0.0039592087451827,5.532198779532641,23.621552727026245,259.5492291279022,505.1514402804393,0.3852461010547189,,,,0.2893772893772893,0.01373626373626376
black.5,Black,Fungi,,5137,78.3,0.050763492582637,0.0030316272357427,5.268566821419211,38.757837523396226,108.0460618429422,659.7117140326853,0.27517096299928157,,,,0.18661850705194358,0.07965686274509802
RSR1,Healthy,Leaf,,297,,,,,,,,,12.25,0.6236,2.115e-33,,
RSR2,Healthy,Leaf,,287,,,,,,,,,8.87,0.6584,4.924e-37,,
RSR7,Healthy,Leaf,,122,,,,,,,,,7.49,0.4342,5.816e-07,,
RSRDiseased3,Diseased,Leaf,,241,,,,,,,,,11.0,0.5675,6.045e-22,,
RSRDiseased5,Diseased,Leaf,,312,,,,,,,,,8.17,0.5752,7.08e-29,,
RSRDiseased6,Diseased,Leaf,,248,,,,,,,,,15.5,0.5561,1.549e-21,,
